state,year,barley,corn,oats,soybeans
Alabama,2022,,118,,41
Alaska,2022,42,,,
Arizona,2022,133,220,,
Arkansas,2022,,173,61,52
California,2022,55,177,65,
Colorado,2022,111,121,,
Connecticut,2022,,20,,
Delaware,2022,87,170,,43
Florida,2022,,164,,
Georgia,2022,,175,51,41
Hawaii,2022,,,,
Idaho,2022,111,216,64,
Illinois,2022,,214,83,63
Indiana,2022,,190,,57.5
Iowa,2022,,200,80,58.5
Kansas,2022,33,115,41,27.5
Kentucky,2022,,156,,51
Louisiana,2022,,170,,47
Maine,2022,65,17,86,
Maryland,2022,82,165,,43
Massachusetts,2022,,15,,
Michigan,2022,50,168,61,47
Minnesota,2022,72,195,59,50
Mississippi,2022,,165,,54
Missouri,2022,,161,52,45.5
Montana,2022,41,112,38,
Nebraska,2022,,165,51,49
Nevada,2022,,22,,
New Hampshire,2022,,19,,
New Jersey,2022,,115,,28
New Mexico,2022,,149,,
New York,2022,61,140,54,45
North Carolina,2022,69,126,77,38.5
North Dakota,2022,73,131,71,35
Ohio,2022,,187,70,55.5
Oklahoma,2022,,122,20,17
Oregon,2022,55,237,105,
Pennsylvania,2022,67,140,59,43
Rhode Island,2022,,16,,
South Carolina,2022,,122,,37
South Dakota,2022,54,132,80,38
Tennessee,2022,,130,,48
Texas,2022,,95,55,20
Utah,2022,82,165,,
Vermont,2022,,19,,
Virginia,2022,86,167,,41
Washington,2022,84,220,,
West Virginia,2022,,168,,
Wisconsin,2022,55,180,74,54
Wyoming,2022,93,153,,